text	link	year
Julia Alvarez	/wiki/Julia_Alvarez	['1900', '1950']
Arambilet	/wiki/Arambilet	['1900', '1950']
Frank Báez	/wiki/Frank_B%C3%A1ez	['1900', '1950']
Josefina Baez	/wiki/Josefina_Baez	['1900', '1950']
Rei Berroa	/wiki/Rei_Berroa	['1900', '1950']
Manuel del Cabral	/wiki/Manuel_del_Cabral	['1900', '1950']
Aída Cartagena Portalatín	/wiki/A%C3%ADda_Cartagena_Portalat%C3%ADn	['1900', '1950']
Roberto Cassá	/wiki/Roberto_Cass%C3%A1	['1900', '1950']
Raquel Cepeda	/wiki/Raquel_Cepeda	['1900', '1950']
Tulio Manuel Cestero	/wiki/Tulio_Manuel_Cestero	['1900', '1950']
Hilma Contreras	/wiki/Hilma_Contreras	['1900', '1950']
Angie Cruz	/wiki/Angie_Cruz	['1900', '1950']
Junot Díaz	/wiki/Junot_D%C3%ADaz	['1900', '1950']
Judith Dupré	/wiki/Judith_Dupr%C3%A9	['1900', '1950']
Virginia Elena Ortea	/wiki/Virginia_Elena_Ortea	['1900', '1950']
León Félix Batista	/wiki/Le%C3%B3n_F%C3%A9lix_Batista	['1900', '1950']
Arturo Féliz-Camilo	/wiki/Arturo_F%C3%A9liz-Camilo	['1900', '1950']
Fabio Fiallo	/wiki/Fabio_Fiallo	['1900', '1950']
Freddy Ginebra	/wiki/Freddy_Ginebra	['1900', '1950']
Cristino Gómez	/wiki/Cristino_G%C3%B3mez	['1900', '1950']
Chico Gonzalez	/wiki/Chico_Gonzalez	['1900', '1950']
José Luis González	/wiki/Jos%C3%A9_Luis_Gonz%C3%A1lez_(writer)	['1900', '1950']
Pedro Henríquez Ureña	/wiki/Pedro_Henr%C3%ADquez_Ure%C3%B1a	['1900', '1950']
Federico Henríquez y Carvajal	/wiki/Federico_Henr%C3%ADquez_y_Carvajal	['1900', '1950']
Angela Hernández Nuñez	/wiki/Angela_Hern%C3%A1ndez_Nu%C3%B1ez	['1900', '1950']
Juan Isidro Jiménez Grullón	/wiki/Juan_Isidro_Jim%C3%A9nez_Grull%C3%B3n	['1900', '1950']
Rita Indiana	/wiki/Rita_Indiana	['1900', '1950']
Mariano Lebrón Saviñón	/wiki/Mariano_Lebr%C3%B3n_Savi%C3%B1%C3%B3n	['1900', '1950']
Marcio Veloz Maggiolo	/wiki/Marcio_Veloz_Maggiolo	['1900', '1950']
