text	link	year
Nam June Paik	/wiki/Nam_June_Paik	['1900', '1950']
Sujin Kang	/wiki/Sujin_Kang	['1900', '1950']
Hong 10	/wiki/Hong_10	['1900', '1950']
Halla Pai Huhm	/wiki/Halla_Pai_Huhm	['1900', '1950']
Ahn Byeong-ki	/wiki/Ahn_Byeong-ki	['1900', '1950']
Bong Joon-ho	/wiki/Bong_Joon-ho	['1900', '1950']
Hong Sang-soo	/wiki/Hong_Sang-soo	['1900', '1950']
Im Kwon-taek	/wiki/Im_Kwon-taek	['1900', '1950']
Jang Joon-hwan	/wiki/Jang_Joon-hwan	['1900', '1950']
Kim Jee-woon	/wiki/Kim_Jee-woon	['1900', '1950']
Kim Ki-duk	/wiki/Kim_Ki-duk	['1900', '1950']
Lee Chang-dong	/wiki/Lee_Chang-dong	['1900', '1950']
Park Chan-wook	/wiki/Park_Chan-wook	['1900', '1950']
Nelson Shin	/wiki/Nelson_Shin	['1900', '1950']
Song Hae-sung	/wiki/Song_Hae-sung	['1900', '1950']
Yoon Je-kyoon	/wiki/Yoon_Je-kyoon	['1900', '1950']
Baek Minseok	/wiki/Baek_Minseok	['1900', '1950']
Baek Seok	/wiki/Baek_Seok	['1900', '1950']
Bang Hyun-seok	/wiki/Bang_Hyun-seok	['1900', '1950']
Chae Ho-ki	/wiki/Chae_Ho-ki	['1900', '1950']
Jeong Chan	/wiki/Jeong_Chan_(author)	['1900', '1950']
Cheong Chi-yong	/wiki/Cheong_Chi-yong	['1900', '1950']
Choi Seung-ho	/wiki/Choi_Seung-ho	['1900', '1950']
Cho Sung-ki	/wiki/Cho_Sung-ki	['1900', '1950']
Choi Il-nam	/wiki/Choi_Il-nam	['1900', '1950']
Choi Soo-cheol	/wiki/Choi_Soo-cheol	['1900', '1950']
Chun Woon-young	/wiki/Chun_Woon-young	['1900', '1950']
Do Jong-hwan	/wiki/Do_Jong-hwan	['1900', '1950']
Gu Hyo-seo	/wiki/Gu_Hyo-seo	['1900', '1950']
Ha Geun-chan	/wiki/Ha_Geun-chan	['1900', '1950']
Ha Seong-nan	/wiki/Ha_Seong-nan	['1900', '1950']
Hailji	/wiki/Hailji	['1900', '1950']
Han Bi-ya	/wiki/Han_Bi-ya	['1900', '1950']
Han Chang-hun	/wiki/Han_Chang-hun	['1900', '1950']
Han Kang	/wiki/Han_Kang	['1900', '1950']
Han Mahlsook	/wiki/Han_Mahlsook	['1900', '1950']
Heo Su-gyeong	/wiki/Heo_Su-gyeong	['1900', '1950']
Hong Sung-won	/wiki/Hong_Sung-won	['1900', '1950']
Hwang In-suk	/wiki/Hwang_In-suk	['1900', '1950']
Hwang Ji-u	/wiki/Hwang_Ji-u	['1900', '1950']
Hyun Kil-un	/wiki/Hyun_Kil-un	['1900', '1950']
Jang Eun-jin	/wiki/Jang_Eun-jin	['1900', '1950']
Jang Jeong-il	/wiki/Jang_Jeong-il	['1900', '1950']
Jang Seok-nam	/wiki/Jang_Seok-nam	['1900', '1950']
Jeon Gyeong-rin	/wiki/Jeon_Gyeong-rin	['1900', '1950']
Jeon Sang-guk	/wiki/Jeon_Sang-guk	['1900', '1950']
Jeong Do-sang	/wiki/Jeong_Do-sang	['1900', '1950']
Jung Hansuk	/wiki/Jung_Hansuk	['1900', '1950']
Jung Ihyun	/wiki/Jung_Ihyun	['1900', '1950']
Jung Mi-kyung	/wiki/Jung_Mi-kyung	['1900', '1950']
Kang Chol-hwan	/wiki/Kang_Chol-hwan	['1900', '1950']
Kang Sok-kyong	/wiki/Kang_Sok-kyong	['1900', '1950']
Kang Young-sook	/wiki/Kang_Young-sook	['1900', '1950']
Ko Un	/wiki/Ko_Un	['1900', '1950']
Kim Byeol-ah	/wiki/Kim_Byeol-ah	['1900', '1950']
Kim Eon	/wiki/Kim_Eon	['1900', '1950']
Kim Gi-taek	/wiki/Kim_Gi-taek	['1900', '1950']
Kim Gwangrim	/wiki/Kim_Gwangrim	['1900', '1950']
Kim Gyeong-uk	/wiki/Kim_Gyeong-uk	['1900', '1950']
Kim Haki	/wiki/Kim_Haki	['1900', '1950']
Kim Hu-ran	/wiki/Kim_Hu-ran	['1900', '1950']
Kim Jae-Young	/wiki/Kim_Jae-Young	['1900', '1950']
Kim Jong-gil	/wiki/Kim_Jong-gil	['1900', '1950']
Kim Ju-yeong	/wiki/Kim_Ju-yeong	['1900', '1950']
Kim Kwang-kyu	/wiki/Kim_Kwang-kyu	['1900', '1950']
Kim Kyung-ju	/wiki/Kim_Kyung-ju	['1900', '1950']
Kim Mi-wol	/wiki/Kim_Mi-wol	['1900', '1950']
Kim Sa-in	/wiki/Kim_Sa-in	['1900', '1950']
Kim Sang-ok	/wiki/Kim_Sang-ok	['1900', '1950']
Kim Sinyong	/wiki/Kim_Sinyong	['1900', '1950']
Kim Seon-wu	/wiki/Kim_Seon-wu	['1900', '1950']
Kim Seong-dong	/wiki/Kim_Seong-dong	['1900', '1950']
Kim Seung-hee	/wiki/Kim_Seung-hee	['1900', '1950']
Kim Sowol	/wiki/Kim_Sowol	['1900', '1950']
Kim Tak-hwan	/wiki/Kim_Tak-hwan	['1900', '1950']
Kim Wonu	/wiki/Kim_Wonu	['1900', '1950']
Kim Yeong-hyeon	/wiki/Kim_Yeong-hyeon	['1900', '1950']
Kim Yong-man	/wiki/Kim_Yong-man_(writer)	['1900', '1950']
Kwak Jae-gu	/wiki/Kwak_Jae-gu	['1900', '1950']
Kwon Jeong Saeng	/wiki/Kwon_Jeong_Saeng	['1900', '1950']
Kwon Yeo-sun	/wiki/Kwon_Yeo-sun	['1900', '1950']
Kye Yong-mook	/wiki/Kye_Yong-mook	['1900', '1950']
Lee Eun-sang	/wiki/Lee_Eun-sang	['1900', '1950']
Lee Ho-cheol	/wiki/Lee_Ho-cheol	['1900', '1950']
Lee Hye-gyeong	/wiki/Lee_Hye-gyeong	['1900', '1950']
Lee Hyeonggi	/wiki/Lee_Hyeonggi	['1933', '2025']
Lee In-hwa	/wiki/Lee_In-hwa	['1900', '1950']
Lee Jangwook	/wiki/Lee_Jangwook	['1900', '1950']
Kang Baek Lee	/wiki/Kang_Baek_Lee	['1900', '1950']
Lee Ki-ho	/wiki/Lee_Ki-ho_(writer)	['1900', '1950']
Lee Mankyo	/wiki/Lee_Mankyo	['1900', '1950']
Lee Mun-ku	/wiki/Lee_Mun-ku	['1900', '1950']
Lee Oyoung	/wiki/Lee_Oyoung	['1900', '1950']
Lee Soon-won	/wiki/Lee_Soon-won	['1900', '1950']
Lee Sungboo	/wiki/Lee_Sungboo	['1900', '1950']
Lee Yuksa	/wiki/Lee_Yuksa	['1900', '1950']
Lee Yun-gi	/wiki/Lee_Yun-gi	['1900', '1950']
Lee Yuntaek	/wiki/Lee_Yuntaek	['1900', '1950']
Ma Jonggi	/wiki/Ma_Jonggi	['1939', '2025']
Moon Chung-hee	/wiki/Moon_Chung-hee	['1900', '1950']
Moon Taejun	/wiki/Moon_Taejun	['1900', '1950']
Nam Jung-hyun	/wiki/Nam_Jung-hyun	['1900', '1950']
Oh Kyu-won	/wiki/Oh_Kyu-won	['1947', '2025']
Oh Sangwon	/wiki/Oh_Sangwon	['1900', '1950']
Oh Soo-yeon	/wiki/Oh_Soo-yeon_(novelist)	['1900', '1950']
Oh Taeseok	/wiki/Oh_Taeseok	['1900', '1950']
Park Chong-hwa	/wiki/Park_Chong-hwa	['1900', '1950']
Paik Gahuim	/wiki/Paik_Gahuim	['1900', '1950']
Park Hee-jin	/wiki/Park_Hee-jin	['1900', '1950']
Park Hyoung-su	/wiki/Park_Hyoung-su	['1900', '1950']
Park Jaesam	/wiki/Park_Jaesam	['1933', '2025']
Park Jeong-dae	/wiki/Park_Jeong-dae	['1900', '1950']
Park Mok-wol	/wiki/Park_Mok-wol	['1900', '1950']
Park Kyung-ni	/wiki/Park_Kyung-ni	['1900', '1950']
Ynhui Park	/wiki/Ynhui_Park	['1900', '1950']
Park Sang-ryung	/wiki/Park_Sang-ryung	['1900', '1950']
Park Sangsoon	/wiki/Park_Sangsoon	['1900', '1950']
Park Taesun	/wiki/Park_Taesun	['1900', '1950']
Park Tae-won	/wiki/Park_Tae-won	['1900', '1950']
Park Yeonghan	/wiki/Park_Yeonghan	['1900', '1950']
Park Yong-rae	/wiki/Park_Yong-rae	['1900', '1950']
Han Yong-un	/wiki/Han_Yong-un	['1900', '1950']
Ra Hee-duk	/wiki/Ra_Hee-duk	['1900', '1950']
Seo Jeong-in	/wiki/Seo_Jeong-in	['1900', '1950']
Seo Hajin	/wiki/Seo_Hajin	['1900', '1950']
Shin Yong-mok	/wiki/Shin_Yong-mok	['1974', '2025']
Sim Yunkyung	/wiki/Sim_Yunkyung	['1900', '1950']
So Young-en	/wiki/So_Young-en	['1900', '1950']
Song Gisuk	/wiki/Song_Gisuk	['1900', '1950']
Song Giwon	/wiki/Song_Giwon	['1900', '1950']
Song Sokze	/wiki/Song_Sokze	['1900', '1950']
Song Yeong	/wiki/Song_Yeong	['1900', '1950']
Sung Chan-gyeong	/wiki/Sung_Chan-gyeong	['1930', '2013']
Yi In-seong	/wiki/Yi_In-seong	['1900', '1950']
Yi Kyoung-ja	/wiki/Yi_Kyoung-ja	['1900', '1950']
Yi Sang	/wiki/Yi_Sang	['1900', '1950']
Yun Dong-ju	/wiki/Yun_Dong-ju	['1900', '1950']
Andre Kim	/wiki/Andre_Kim	['1900', '1950']
Richard Chai	/wiki/Richard_Chai	['1900', '1950']
Ahn Cheol-Soo	/wiki/Ahn_Cheol-Soo	['1900', '1950']
Cho Yang-ho	/wiki/Cho_Yang-ho	['1900', '1950']
Chey Tae-won	/wiki/Chey_Tae-won	['1900', '1950']
Chung Ju-yung	/wiki/Chung_Ju-yung	['1900', '1950']
