text	link	year
Aboriginal Tasmanians	/wiki/Aboriginal_Tasmanians	['1900', '1950']
Torres Strait Islanders	/wiki/Torres_Strait_Islanders	['1900', '1950']
Victorian Aborigines	/wiki/Victorian_Aborigines	['1900', '1950']
Bora	/wiki/Bora_(Australian)	['1900', '1950']
Corroboree	/wiki/Corroboree	['1900', '1950']
Deadly Awards	/wiki/Deadly_Awards	['1900', '1950']
Dreamtime	/wiki/Dreamtime	['1900', '1950']
Torres Strait Islander Flag	/wiki/Torres_Strait_Islander_Flag	['1900', '1950']
Kurdaitcha	/wiki/Kurdaitcha	['1900', '1950']
Marn Grook	/wiki/Marn_Grook	['1900', '1950']
Message stick	/wiki/Message_stick	['1900', '1950']
NAIDOC Week	/wiki/NAIDOC_Week	['1900', '1950']
National Indigenous Human Rights Awards	/wiki/National_Indigenous_Human_Rights_Awards	['1900', '1950']
Outstation movement	/wiki/Outstation_movement	['1900', '1950']
Riji	/wiki/Riji	['1900', '1950']
Smoking ceremony	/wiki/Smoking_ceremony	['1900', '1950']
Songline	/wiki/Songline	['1900', '1950']
Tjurunga	/wiki/Tjurunga	['1900', '1950']
Woggabaliri	/wiki/Woggabaliri	['1900', '1950']
Avoidance speech	/wiki/Avoidance_speech	['1900', '1950']
Macro-Gunwinyguan languages	/wiki/Macro-Gunwinyguan_languages	['1900', '1950']
Tasmanian languages	/wiki/Tasmanian_languages	['1900', '1950']
Pama–Nyungan languages	/wiki/Pama%E2%80%93Nyungan_languages	['1900', '1950']
Torres Strait English	/wiki/Torres_Strait_English	['1900', '1950']
Torres Strait Island languages	/wiki/Torres_Strait_Island_languages	['1900', '1950']
Aboriginal and Torres Strait Islander Commission	/wiki/Aboriginal_and_Torres_Strait_Islander_Commission	['1900', '1950']
Aboriginal Medical Service	/wiki/Aboriginal_Medical_Service	['1900', '1950']
Aborigines Advancement League	/wiki/Aborigines_Advancement_League	['1900', '1950']
Aborigines Progressive Association	/wiki/Aborigines_Progressive_Association	['1900', '1950']
Central Land Council	/wiki/Central_Land_Council	['1900', '1950']
National Indigenous Council	/wiki/National_Indigenous_Council	['1900', '1950']
Northern Land Council	/wiki/Northern_Land_Council	['1900', '1950']
Reconciliation Australia	/wiki/Reconciliation_Australia	['1900', '1950']
National Sorry Day	/wiki/National_Sorry_Day	['1900', '1950']
Torres Strait Regional Authority	/wiki/Torres_Strait_Regional_Authority	['1900', '1950']
Boomerang	/wiki/Boomerang	['1900', '1950']
Buka cloak	/wiki/Buka_cloak	['1900', '1950']
Bush bread	/wiki/Bush_bread	['1900', '1950']
Bush tucker	/wiki/Bush_tucker	['1900', '1950']
Bush medicine	/wiki/Bush_medicine	['1900', '1950']
Coolamon	/wiki/Coolamon_(vessel)	['1900', '1950']
Aboriginal Dugout Canoes	/wiki/Aboriginal_Dugout_Canoes	['1900', '1950']
Fire-stick farming	/wiki/Fire-stick_farming	['1900', '1950']
Humpy	/wiki/Humpy	['1900', '1950']
Possum-skin cloak	/wiki/Possum-skin_cloak	['1900', '1950']
Scarred tree	/wiki/Scarred_tree	['1900', '1950']
Soakage	/wiki/Soakage_(source_of_water)	['1900', '1950']
Spinifex resin	/wiki/Spinifex_resin	['1900', '1950']
Waddy	/wiki/Waddy	['1900', '1950']
Woomera	/wiki/Woomera_(spear-thrower)	['1900', '1950']
Bark painting	/wiki/Bark_painting	['1900', '1950']
Didgeridoo	/wiki/Didgeridoo	['1900', '1950']
Dreaming	/wiki/Dreaming_(Australian_Aboriginal_art)	['1900', '1950']
Indigenous rock	/wiki/Indigenous_rock	['1900', '1950']
National Aboriginal & Torres Strait Islander Art Award	/wiki/National_Aboriginal_%26_Torres_Strait_Islander_Art_Award	['1900', '1950']
Papunya Tula	/wiki/Papunya_Tula	['1900', '1950']
Sandpainting	/wiki/Sandpainting#Indigenous_Australian_sandpainting	['1900', '1950']
Vibe Australia	/wiki/Vibe_Australia	['1900', '1950']
Yininmadyemi - Thou didst let fall	/wiki/Yininmadyemi_-_Thou_didst_let_fall	['1900', '1950']
Aboriginal Land Rights Act 1976	/wiki/Aboriginal_Land_Rights_Act_1976	['1900', '1950']
Bathurst War	/wiki/Bathurst_War	['1900', '1950']
Hawkesbury and Nepean Wars	/wiki/Hawkesbury_and_Nepean_Wars	['1900', '1950']
Caledon Bay crisis	/wiki/Caledon_Bay_crisis	['1900', '1950']
Cummeragunja walk-off	/wiki/Cummeragunja_walk-off	['1900', '1950']
Wave Hill walk-off	/wiki/Wave_Hill_walk-off	['1900', '1950']
History wars	/wiki/History_wars	['1900', '1950']
Aboriginal breastplate	/wiki/Aboriginal_breastplate	['1900', '1950']
Black War	/wiki/Black_War	['1900', '1950']
1946 Pilbara strike	/wiki/1946_Pilbara_strike	['1900', '1950']
Pintupi Nine	/wiki/Pintupi_Nine	['1900', '1950']
Stolen Generations	/wiki/Stolen_Generations	['1900', '1950']
Apology to Australia's Indigenous peoples	/wiki/Apology_to_Australia%27s_Indigenous_peoples	['1900', '1950']
Aboriginal Tent Embassy	/wiki/Aboriginal_Tent_Embassy	['1900', '1950']
Indigenous Protected Area	/wiki/Indigenous_Protected_Area	['1900', '1950']
Northern Territory National Emergency Response	/wiki/Northern_Territory_National_Emergency_Response	['1900', '1950']
Stolen Generations	/wiki/Stolen_Generations	['1900', '1950']
Half-Caste Act	/wiki/Half-Caste_Act	['1900', '1950']
