text	link	year
Merina people	/wiki/Merina_people	['1900', '1950']
Merina people	/wiki/Merina_people	['1900', '1950']
Sihanaka	/wiki/Sihanaka	['1900', '1950']
Betsileo people	/wiki/Betsileo_people	['1900', '1950']
Zafimaniry	/wiki/Zafimaniry	['1900', '1950']
Antaifasy	/wiki/Antaifasy	['1900', '1950']
Antaifasy	/wiki/Antaifasy	['1900', '1950']
Antaimoro people	/wiki/Antaimoro_people	['1900', '1950']
Antaisaka people	/wiki/Antaisaka_people	['1900', '1950']
Antambahoaka	/wiki/Antambahoaka	['1900', '1950']
Antandroy	/wiki/Antandroy	['1900', '1950']
Antankarana	/wiki/Antankarana	['1900', '1950']
Antanosy people	/wiki/Antanosy_people	['1900', '1950']
Bara people	/wiki/Bara_people	['1900', '1950']
Betsimisaraka people	/wiki/Betsimisaraka_people	['1900', '1950']
Bezanozano	/wiki/Bezanozano	['1900', '1950']
Mahafaly	/wiki/Mahafaly	['1900', '1950']
Makoa	/wiki/Makoa	['1900', '1950']
Mikea people	/wiki/Mikea_people	['1900', '1950']
Sakalava people	/wiki/Sakalava_people	['1900', '1950']
Tanala	/wiki/Tanala	['1900', '1950']
Tsimihety people	/wiki/Tsimihety_people	['1900', '1950']
Vezo people	/wiki/Vezo_people	['1900', '1950']
Malagasy language	/wiki/Malagasy_language	['1900', '1950']
Seychellois Creole people	/wiki/Seychellois_Creole_people	['1900', '1950']
Cafres	/wiki/Cafres	['1900', '1950']
Cape Malay	/wiki/Cape_Malay	['1900', '1950']
Antaifasy	/wiki/Antaifasy	['1900', '1950']
Antemoro people	/wiki/Antemoro_people	['1900', '1950']
Antaisaka people	/wiki/Antaisaka_people	['1900', '1950']
Antambahoaka	/wiki/Antambahoaka	['1900', '1950']
Antandroy	/wiki/Antandroy	['1900', '1950']
Antankarana	/wiki/Antankarana	['1900', '1950']
Antanosy people	/wiki/Antanosy_people	['1900', '1950']
Bara people	/wiki/Bara_people	['1900', '1950']
Beosi	/wiki/Beosi	['1900', '1950']
Betsileo people	/wiki/Betsileo_people	['1900', '1950']
Betsimisaraka people	/wiki/Betsimisaraka_people	['1900', '1950']
Bezanozano	/wiki/Bezanozano	['1900', '1950']
Mahafaly	/wiki/Mahafaly	['1900', '1950']
Makoa	/wiki/Makoa	['1900', '1950']
Masikoro	/wiki/Masikoro	['1900', '1950']
Merina people	/wiki/Merina_people	['1900', '1950']
Mikea people	/wiki/Mikea_people	['1900', '1950']
Sakalava people	/wiki/Sakalava_people	['1900', '1950']
Sihanaka	/wiki/Sihanaka	['1900', '1950']
Tanala	/wiki/Tanala	['1900', '1950']
Tsimihety people	/wiki/Tsimihety_people	['1900', '1950']
Vezo people	/wiki/Vezo_people	['1900', '1950']
Zafimaniry	/wiki/Zafimaniry	['1900', '1950']
Zafisoro	/wiki/Zafisoro	['1900', '1950']
