text	link	year
Sindh	/wiki/Sindh	['1900', '1950']
Sindhology	/wiki/Sindhology	['1900', '1950']
Indus Valley civilization	/wiki/Indus_Valley_civilization	['1900', '1950']
Sindhu Kingdom	/wiki/Sindhu_Kingdom	['1900', '1950']
Rai Dynasty	/wiki/Rai_Dynasty	['1900', '1950']
Soomra Dynasty	/wiki/Soomra_Dynasty	['1900', '1950']
Samma Dynasty	/wiki/Samma_Dynasty	['1900', '1950']
Kalhora Dynasty	/wiki/Kalhora_Dynasty	['1900', '1950']
Talpur	/wiki/Talpur	['1900', '1950']
Cheti Chand	/wiki/Cheti_Chand	['1900', '1950']
Nanakpanthi	/wiki/Nanakpanthi	['1900', '1950']
Jhulelal	/wiki/Jhulelal_(Sufism)	['1900', '1950']
Guru Nanak Jayanti	/wiki/Guru_Nanak_Jayanti	['1900', '1950']
Sindhudesh	/wiki/Sindhudesh	['1900', '1950']
Ror dynasty	/wiki/Ror_dynasty	['1900', '1950']
Ulhasnagar	/wiki/Ulhasnagar	['1900', '1950']
Sammat	/wiki/Sammat	['1900', '1950']
Sandhai Muslims	/wiki/Sandhai_Muslims	['1900', '1950']
Template:Pakistani people	/wiki/Template:Pakistani_people	['1900', '1950']
Template talk:Pakistani people	/wiki/Template_talk:Pakistani_people	['1900', '1950']
Balti people	/wiki/Balti_people	['1900', '1950']
Baloch people	/wiki/Baloch_people	['1900', '1950']
Brahui people	/wiki/Brahui_people	['1900', '1950']
Burusho people	/wiki/Burusho_people	['1900', '1950']
Hazaras	/wiki/Hazaras	['1900', '1950']
Hindkowans	/wiki/Hindkowans	['1900', '1950']
Kalash people	/wiki/Kalash_people	['1900', '1950']
Kashmiris	/wiki/Kashmiris	['1900', '1950']
Kho people	/wiki/Kho_people	['1900', '1950']
Muhajir people	/wiki/Muhajir_people	['1900', '1950']
Pashtuns	/wiki/Pashtuns	['1900', '1950']
Punjabis	/wiki/Punjabis	['1900', '1950']
Shina people	/wiki/Shina_people	['1900', '1950']
Siddi	/wiki/Siddi	['1900', '1950']
Wakhi people	/wiki/Wakhi_people	['1900', '1950']
Template:Sindh topics	/wiki/Template:Sindh_topics	['1900', '1950']
Template talk:Sindh topics	/wiki/Template_talk:Sindh_topics	['1900', '1950']
Indus Valley Civilization	/wiki/Indus_Valley_Civilization	['1900', '1950']
Sindhu Kingdom	/wiki/Sindhu_Kingdom	['1900', '1950']
Ror dynasty	/wiki/Ror_dynasty	['1900', '1950']
Rai dynasty	/wiki/Rai_dynasty	['1900', '1950']
Raja Dahir	/wiki/Raja_Dahir	['1900', '1950']
Ba'ab-ul-Islam	/wiki/Ba%27ab-ul-Islam	['1900', '1950']
Soomra dynasty	/wiki/Soomra_dynasty	['1900', '1950']
Samma dynasty	/wiki/Samma_dynasty	['1900', '1950']
Kalhora dynasty	/wiki/Kalhora_dynasty	['1900', '1950']
Talpur	/wiki/Talpur	['1900', '1950']
Sind Province	/wiki/Sind_Province_(1936%E2%80%9355)	['1900', '1950']
Sindh Archives	/wiki/Sindh_Archives	['1900', '1950']
Bhutto family	/wiki/Bhutto_family	['1900', '1950']
Sindh Police	/wiki/Sindh_Police	['1900', '1950']
Sindh High Court	/wiki/Sindh_High_Court	['1900', '1950']
Sindh Information Department	/wiki/Sindh_Information_Department	['1900', '1950']
Sindh Coastal Development Authority	/wiki/Sindh_Coastal_Development_Authority	['1900', '1950']
Ajrak	/wiki/Ajrak	['1900', '1950']
Sindhology	/wiki/Sindhology	['1900', '1950']
Sassui Punnhun	/wiki/Sassui_Punnhun	['1900', '1950']
Cheti Chand	/wiki/Cheti_Chand	['1900', '1950']
Indus River	/wiki/Indus_River	['1900', '1950']
Makran	/wiki/Makran	['1900', '1950']
Sindh Madressatul Islam University	/wiki/Sindh_Madressatul_Islam_University	['1900', '1950']
Sindh Agriculture University	/wiki/Sindh_Agriculture_University	['1900', '1950']
Sindh Museum	/wiki/Sindh_Museum	['1900', '1950']
Sindh cricket team	/wiki/Sindh_cricket_team	['1900', '1950']
Malakhra	/wiki/Malakhra	['1900', '1950']
Sindh Tourism Development Corporation	/wiki/Sindh_Tourism_Development_Corporation	['1900', '1950']
Sindhu Kingdom	/wiki/Sindhu_Kingdom	['1900', '1950']
Sind Province	/wiki/Sind_Province_(1936%E2%80%9355)	['55', '1936']
Sind Division	/wiki/Sind_Division	['1900', '1950']
Raja Dhach	/wiki/Raja_Dhach	['1900', '1950']
Rai dynasty	/wiki/Rai_dynasty#Rulers	['1900', '1950']
Rai dynasty	/wiki/Rai_dynasty#Rulers	['1900', '1950']
Rai dynasty	/wiki/Rai_dynasty#Rulers	['1900', '1950']
Rai Sahiras II	/wiki/Rai_Sahiras_II	['1900', '1950']
Rai Sahasi II	/wiki/Rai_Sahasi_II	['1900', '1950']
Agham Lohana	/wiki/Agham_Lohana	['1900', '1950']
Raja Dahir	/wiki/Raja_Dahir	['1900', '1950']
Jam Unar	/wiki/Jam_Unar	['1900', '1950']
Jam Tamachi	/wiki/Jam_Tamachi	['1900', '1950']
Jam Raidhan	/wiki/Jam_Raidhan	['1900', '1950']
Jam Sanjar	/wiki/Jam_Sanjar	['1900', '1950']
Jam Nizamuddin II	/wiki/Jam_Nizamuddin_II	['1900', '1950']
Jam Feroz	/wiki/Jam_Feroz	['1900', '1950']
Mian Adam Shah Kalhoro	/wiki/Mian_Adam_Shah_Kalhoro	['1900', '1950']
Noor Mohammad Kalhoro	/wiki/Noor_Mohammad_Kalhoro	['1900', '1950']
Mian Ghulam Shah Kalhoro	/wiki/Mian_Ghulam_Shah_Kalhoro	['1900', '1950']
Mian Sarfraz Kalhoro	/wiki/Mian_Sarfraz_Kalhoro_(Khudayar_Khan)	['1900', '1950']
Hoshu Sheedi	/wiki/Hoshu_Sheedi	['1900', '1950']
Sibghatullah Shah Rashidi	/wiki/Sibghatullah_Shah_Rashidi	['1900', '1950']
Abdullah Shah Ghazi	/wiki/Abdullah_Shah_Ghazi	['1900', '1950']
Mir Sher Muhammad Talpur	/wiki/Mir_Sher_Muhammad_Talpur	['1900', '1950']
Dodo Bin Khafef Soomro III	/wiki/Dodo_Bin_Khafef_Soomro_III	['1900', '1950']
Dollah Darya Khan	/wiki/Dollah_Darya_Khan	['1900', '1950']
Shah Inayat Shaheed	/wiki/Shah_Inayat_Shaheed	['1900', '1950']
Makhdoom Bilawal	/wiki/Makhdoom_Bilawal	['1900', '1950']
Mir Nasir Khan Talpur	/wiki/Mir_Nasir_Khan_Talpur	['1900', '1950']
Mir Sher Muhammad Talpur	/wiki/Mir_Sher_Muhammad_Talpur	['1900', '1950']
G. M. Syed	/wiki/G._M._Syed	['1900', '1950']
Shafi Muhammad Burfat	/wiki/Shafi_Muhammad_Burfat	['1900', '1950']
Zulfiqar Ali Bhutto	/wiki/Zulfiqar_Ali_Bhutto	['1900', '1950']
Ayaz Latif Palijo	/wiki/Ayaz_Latif_Palijo	['1900', '1950']
Hyder Bux Jatoi	/wiki/Hyder_Bux_Jatoi	['1900', '1950']
Bashir Qureshi	/wiki/Bashir_Qureshi	['1900', '1950']
Qadir Magsi	/wiki/Qadir_Magsi	['1900', '1950']
Rasul Bux Palejo	/wiki/Rasul_Bux_Palejo	['1900', '1950']
Abdul Wahid Aresar	/wiki/Abdul_Wahid_Aresar	['1900', '1950']
Muzafar Bhutto	/wiki/Muzafar_Bhutto	['1900', '1950']
Sajjad shar	/wiki/Sajjad_shar	['1900', '1950']
Mumtaz Bhutto	/wiki/Mumtaz_Bhutto	['1900', '1950']
Safdar Sarki	/wiki/Safdar_Sarki	['1900', '1950']
Zarina Baloch	/wiki/Zarina_Baloch	['1900', '1950']
Muhammad Ibrahim Joyo	/wiki/Muhammad_Ibrahim_Joyo	['1900', '1950']
Benazir Bhutto	/wiki/Benazir_Bhutto	['1900', '1950']
Asif Ali Zardari	/wiki/Asif_Ali_Zardari	['1900', '1950']
Zulfiqar Shah	/wiki/Zulfiqar_Shah	['1900', '1950']
Ajrak	/wiki/Ajrak	['1900', '1950']
Malakhra	/wiki/Malakhra	['1900', '1950']
Sassui Punhun	/wiki/Sassui_Punhun	['1900', '1950']
Sindhudesh	/wiki/Sindhudesh	['1900', '1950']
Shah Abdul Latif Bhittai	/wiki/Shah_Abdul_Latif_Bhittai	['1900', '1950']
Sachal Sarmast	/wiki/Sachal_Sarmast	['1900', '1950']
Tajal Bewas	/wiki/Tajal_Bewas	['1900', '1950']
Shaikh Ayaz	/wiki/Shaikh_Ayaz	['1900', '1950']
Sami	/wiki/Sami_(poet)	['1900', '1950']
Sindhudesh	/wiki/Sindhudesh	['1900', '1950']
Kalabagh Dam	/wiki/Kalabagh_Dam	['1900', '1950']
Debal	/wiki/Debal	['1900', '1950']
Jeay Sindh Muttahida Mahaz	/wiki/Jeay_Sindh_Muttahida_Mahaz	['1900', '1950']
Jeay Sindh Qaumi Mahaz	/wiki/Jeay_Sindh_Qaumi_Mahaz	['1900', '1950']
Sindh Taraqi Pasand Party	/wiki/Sindh_Taraqi_Pasand_Party	['1900', '1950']
Rasul Bux Palejo	/wiki/Rasul_Bux_Palejo#Awami_Tehreek	['1900', '1950']
Sindh National Front	/wiki/Sindh_National_Front	['1900', '1950']
Sindh United Party	/wiki/Sindh_United_Party	['1900', '1950']
Sindh Hari Committee	/wiki/Sindh_Hari_Committee	['1900', '1950']
Jeay Sindh Students' Federation	/wiki/Jeay_Sindh_Students%27_Federation	['1900', '1950']
Sindhudesh Liberation Army	/wiki/Sindhudesh_Liberation_Army	['1900', '1950']
