text	link	year
Moshoeshoe I	/wiki/Moshoeshoe_I	['1900', '1950']
Moshoeshoe II	/wiki/Moshoeshoe_II	['1900', '1950']
Pakalitha Mosisili	/wiki/Pakalitha_Mosisili	['1900', '1950']
Ace Magashule	/wiki/Ace_Magashule	['1900', '1950']
Tom Thabane	/wiki/Tom_Thabane	['1900', '1950']
Ntsu Mokhehle	/wiki/Ntsu_Mokhehle	['1900', '1950']
Leabua Jonathan	/wiki/Leabua_Jonathan	['1900', '1950']
Mosiuoa Lekota	/wiki/Mosiuoa_Lekota	['1900', '1950']
Hlaudi Motsoeneng	/wiki/Hlaudi_Motsoeneng	['1900', '1950']
Lira	/wiki/Lira_(singer)	['1900', '1950']
Maleh	/wiki/Maleh	['1900', '1950']
Mpho Koaho	/wiki/Mpho_Koaho	['1900', '1950']
Terry Pheto	/wiki/Terry_Pheto	['1900', '1950']
Sankomota	/wiki/Sankomota	['1900', '1950']
Khotso Mokoena	/wiki/Khotso_Mokoena	['1900', '1950']
Kaizer Motaung	/wiki/Kaizer_Motaung	['1900', '1950']
Steve Lekoelea	/wiki/Steve_Lekoelea	['1900', '1950']
Aaron Mokoena	/wiki/Aaron_Mokoena	['1900', '1950']
Thabo Mooki	/wiki/Thabo_Mooki	['1900', '1950']
Abia Nale	/wiki/Abia_Nale	['1900', '1950']
Lebohang Maboe	/wiki/Lebohang_Maboe	['1900', '1950']
Jacob Lekgetho	/wiki/Jacob_Lekgetho	['1900', '1950']
Lehlohonolo Seema	/wiki/Lehlohonolo_Seema	['1900', '1950']
Lebohang Mokoena	/wiki/Lebohang_Mokoena	['1900', '1950']
Sotho–Tswana peoples	/wiki/Sotho%E2%80%93Tswana_peoples	['1900', '1950']
Lesotho	/wiki/Lesotho	['1900', '1950']
Sesotho language	/wiki/Sesotho_language	['1900', '1950']
Sotho-Tswana languages	/wiki/Sotho-Tswana_languages	['1900', '1950']
Liphofung Historical Site	/wiki/Liphofung_Historical_Site	['1900', '1950']
Sekhukhuneland	/wiki/Sekhukhuneland	['1900', '1950']
Moshoeshoe I	/wiki/Moshoeshoe_I	['1900', '1950']
Sotho calendar	/wiki/Sotho_calendar	['1900', '1950']
Baka-Nswazwi	/wiki/Baka-Nswazwi	['1900', '1950']
Barokologadi Ba Ga Maotwa	/wiki/Barokologadi_Ba_Ga_Maotwa	['1900', '1950']
Batalaunda	/wiki/Batalaunda	['1900', '1950']
Gana and Gwi people	/wiki/Gana_and_Gwi_people	['1900', '1950']
Herero people	/wiki/Herero_people	['1900', '1950']
Kalanga people	/wiki/Kalanga_people	['1900', '1950']
ǃKung people	/wiki/%C7%83Kung_people	['1900', '1950']
Lozi people	/wiki/Lozi_people	['1900', '1950']
Mangwato tribe	/wiki/Mangwato_tribe	['1900', '1950']
Mbanderu people	/wiki/Mbanderu_people	['1900', '1950']
Nama people	/wiki/Nama_people	['1900', '1950']
San people	/wiki/San_people	['1900', '1950']
Subiya people	/wiki/Subiya_people	['1900', '1950']
Talaote tribe	/wiki/Talaote_tribe	['1900', '1950']
Tlôkwa tribe	/wiki/Tl%C3%B4kwa_tribe	['1900', '1950']
Tswana people	/wiki/Tswana_people	['1900', '1950']
Twa	/wiki/Twa	['1900', '1950']
Yeyi people	/wiki/Yeyi_people	['1900', '1950']
Bhaca people	/wiki/Bhaca_people	['1900', '1950']
Bhele	/wiki/Bhele	['1900', '1950']
Fengu people	/wiki/Fengu_people	['1900', '1950']
Hlubi people	/wiki/Hlubi_people	['1900', '1950']
South Ndebele people	/wiki/South_Ndebele_people	['1900', '1950']
Pondo people	/wiki/Pondo_people	['1900', '1950']
Ngcoya clan	/wiki/Ngcoya_clan	['1900', '1950']
Swazi people	/wiki/Swazi_people	['1900', '1950']
Ndwandwe	/wiki/Ndwandwe	['1900', '1950']
Thembu people	/wiki/Thembu_people	['1900', '1950']
Xhosa people	/wiki/Xhosa_people	['1900', '1950']
Gcaleka	/wiki/Gcaleka	['1900', '1950']
Gqunukhwebe	/wiki/Gqunukhwebe	['1900', '1950']
Gaika people	/wiki/Gaika_people	['1900', '1950']
Xesibe	/wiki/Xesibe	['1900', '1950']
Zulu people	/wiki/Zulu_people	['1900', '1950']
Fingo people	/wiki/Fingo_people	['1900', '1950']
Khumalo clan	/wiki/Khumalo_clan	['1900', '1950']
Koena tribe	/wiki/Koena_tribe	['1900', '1950']
Taung tribe	/wiki/Taung_tribe	['1900', '1950']
Tlokwa tribe	/wiki/Tlokwa_tribe	['1900', '1950']
Pedi people	/wiki/Pedi_people	['1900', '1950']
Lobedu people	/wiki/Lobedu_people	['1900', '1950']
Mabelane tribe	/wiki/Mabelane_tribe	['1900', '1950']
Tswana people	/wiki/Tswana_people	['1900', '1950']
Balete people	/wiki/Balete_people	['1900', '1950']
Lemba people	/wiki/Lemba_people	['1900', '1950']
San people	/wiki/San_people	['1900', '1950']
ǃKung people	/wiki/%C7%83Kung_people	['1900', '1950']
Khoikhoi	/wiki/Khoikhoi	['1900', '1950']
Nama people	/wiki/Nama_people	['1900', '1950']
Strandloper peoples	/wiki/Strandloper_peoples	['1900', '1950']
Afrikaners	/wiki/Afrikaners	['1900', '1950']
Boer	/wiki/Boer	['1900', '1950']
Cape Dutch	/wiki/Cape_Dutch	['1900', '1950']
Irish diaspora	/wiki/Irish_diaspora#South_Africa	['1900', '1950']
Italian South Africans	/wiki/Italian_South_Africans	['1900', '1950']
Afrikaner-Jews	/wiki/Afrikaner-Jews	['1900', '1950']
Portuguese South African	/wiki/Portuguese_South_African	['1900', '1950']
Cape Coloureds	/wiki/Cape_Coloureds	['1900', '1950']
Cape Malay	/wiki/Cape_Malay	['1900', '1950']
Griqua people	/wiki/Griqua_people	['1900', '1950']
