text	link	year
Indo-Surinamese	/wiki/Indo-Surinamese	['1900', '1950']
Afro-Surinamese	/wiki/Afro-Surinamese	['1900', '1950']
Javanese Surinamese	/wiki/Javanese_Surinamese	['1900', '1950']
Chinese Surinamese	/wiki/Chinese_Surinamese	['1900', '1950']
White Surinamese	/wiki/White_Surinamese	['1900', '1950']
Levant	/wiki/Levant	['1900', '1950']
Multiracial	/wiki/Multiracial	['1900', '1950']
Christianity	/wiki/Christianity	['1900', '1950']
Hinduism	/wiki/Hinduism	['1900', '1950']
Islam	/wiki/Islam	['1900', '1950']
Template:Suriname topics	/wiki/Template:Suriname_topics	['1900', '1950']
Template talk:Suriname topics	/wiki/Template_talk:Suriname_topics	['1900', '1950']
Surinam	/wiki/Surinam_(Dutch_colony)	['1900', '1950']
Suriname	/wiki/Suriname_(Kingdom_of_the_Netherlands)	['1900', '1950']
1980 Surinamese coup d'état	/wiki/1980_Surinamese_coup_d%27%C3%A9tat	['1900', '1950']
Surinamese Interior War	/wiki/Surinamese_Interior_War	['1986', '1992']
1990 Surinamese coup d'état	/wiki/1990_Surinamese_coup_d%27%C3%A9tat	['1900', '1950']
Suriname National Army	/wiki/Suriname_National_Army	['1900', '1950']
National Assembly	/wiki/National_Assembly_(Suriname)	['1900', '1950']
Surinamese dollar	/wiki/Surinamese_dollar	['1900', '1950']
God zij met ons Suriname	/wiki/God_zij_met_ons_Suriname	['1900', '1950']
Surinamese cuisine	/wiki/Surinamese_cuisine	['1900', '1950']
Surinamese literature	/wiki/Surinamese_literature	['1900', '1950']
Template:Surinamese people	/wiki/Template:Surinamese_people	['1900', '1950']
Template talk:Surinamese people	/wiki/Template_talk:Surinamese_people	['1900', '1950']
Arawak peoples	/wiki/Arawak_peoples	['1900', '1950']
Lokono	/wiki/Lokono	['1900', '1950']
Kalina people	/wiki/Kalina_people	['1900', '1950']
Akurio people	/wiki/Akurio_people	['1900', '1950']
Kali'na people	/wiki/Kali%27na_people	['1900', '1950']
Sikiana people	/wiki/Sikiana_people	['1900', '1950']
Tiriyó people	/wiki/Tiriy%C3%B3_people	['1900', '1950']
Wayana people	/wiki/Wayana_people	['1900', '1950']
Warao people	/wiki/Warao_people	['1900', '1950']
Maroon	/wiki/Maroon_(people)	['1900', '1950']
Kwinti people	/wiki/Kwinti_people	['1900', '1950']
Ndyuka people	/wiki/Ndyuka_people	['1900', '1950']
Paramaccan people	/wiki/Paramaccan_people	['1900', '1950']
Saramaka	/wiki/Saramaka	['1900', '1950']
Chinese Surinamese	/wiki/Chinese_Surinamese	['1900', '1950']
Indo-Surinamese	/wiki/Indo-Surinamese	['1900', '1950']
Javanese Surinamese	/wiki/Javanese_Surinamese	['1900', '1950']
Lebanese Surinamese	/wiki/Lebanese_Surinamese	['1900', '1950']
Dutch Surinamese	/wiki/Dutch_Surinamese	['1900', '1950']
Portuguese Surinamese	/wiki/Portuguese_Surinamese	['1900', '1950']
