text	link	year
Zhangzhung Kingdom	/wiki/Zhangzhung_Kingdom	['1900', '1950']
Yarlung Dynasty	/wiki/Yarlung_Dynasty	['1900', '1950']
Tibetan Empire	/wiki/Tibetan_Empire	['618', '842']
Guge Kingdom	/wiki/Guge_Kingdom	['842', '1630']
Burang County	/wiki/Burang_County	['1900', '1950']
Tsongkha	/wiki/Tsongkha	['997', '1099']
Phagmodrupa Dynasty	/wiki/Phagmodrupa_Dynasty	['1354', '1618']
Rinpungpa Dynasty	/wiki/Rinpungpa_Dynasty	['1435', '1565']
Tsangpa Dynasty	/wiki/Tsangpa_Dynasty	['1565', '1642']
Ganden Phodrang	/wiki/Ganden_Phodrang	['1642', '1959']
Chogyal	/wiki/Chogyal	['1642', '1975']
Tibet	/wiki/Tibet_(1912%E2%80%9351)	['51', '1912']
Nyarong	/wiki/Nyarong	['1900', '1950']
Nangqên County	/wiki/Nangq%C3%AAn_County	['1900', '1950']
Hor States	/wiki/Hor_States	['1900', '1950']
Sumpa	/wiki/Sumpa	['1900', '1950']
Upper Mustang	/wiki/Upper_Mustang	['1900', '1950']
Sherpa people	/wiki/Sherpa_people	['1900', '1950']
Balti people	/wiki/Balti_people	['1900', '1950']
Bhotias	/wiki/Bhotias	['1900', '1950']
Burig	/wiki/Burig	['1900', '1950']
Lepcha people	/wiki/Lepcha_people	['1900', '1950']
Limbu people	/wiki/Limbu_people	['1900', '1950']
Lhoba people	/wiki/Lhoba_people	['1900', '1950']
Monpa people	/wiki/Monpa_people	['1900', '1950']
Thakali people	/wiki/Thakali_people	['1900', '1950']
Changpa	/wiki/Changpa	['1900', '1950']
Golok people	/wiki/Golok_people	['1900', '1950']
Tibetan Muslims	/wiki/Tibetan_Muslims	['1900', '1950']
Tibetan diaspora	/wiki/Tibetan_diaspora	['1900', '1950']
Tibetan Americans	/wiki/Tibetan_Americans	['1900', '1950']
Central Tibetan Administration	/wiki/Central_Tibetan_Administration	['1900', '1950']
Tibetan independence movement	/wiki/Tibetan_independence_movement	['1900', '1950']
Anti-Tibetan Sentiment	/wiki/Anti-Tibetan_Sentiment	['1900', '1950']
International Standard Book Number	/wiki/International_Standard_Book_Number	['1900', '1950']
Bai people	/wiki/Bai_people	['1900', '1950']
Han Chinese	/wiki/Han_Chinese	['1900', '1950']
Hui people	/wiki/Hui_people	['1900', '1950']
Achang people	/wiki/Achang_people	['1900', '1950']
Hani people	/wiki/Hani_people	['1900', '1950']
Jino people	/wiki/Jino_people	['1900', '1950']
Lahu people	/wiki/Lahu_people	['1900', '1950']
Lisu people	/wiki/Lisu_people	['1900', '1950']
Nu people	/wiki/Nu_people	['1900', '1950']
Yi people	/wiki/Yi_people	['1900', '1950']
Nakhi people	/wiki/Nakhi_people	['1900', '1950']
Pumi people	/wiki/Pumi_people	['1900', '1950']
Qiang people	/wiki/Qiang_people	['1900', '1950']
Monpa people	/wiki/Monpa_people	['1900', '1950']
Derung people	/wiki/Derung_people	['1900', '1950']
Jingpo people	/wiki/Jingpo_people	['1900', '1950']
Lhoba people	/wiki/Lhoba_people	['1900', '1950']
Tujia people	/wiki/Tujia_people	['1900', '1950']
Blang people	/wiki/Blang_people	['1900', '1950']
Gin people	/wiki/Gin_people	['1900', '1950']
Palaung people	/wiki/Palaung_people	['1900', '1950']
Wa people	/wiki/Wa_people	['1900', '1950']
Miao people	/wiki/Miao_people	['1900', '1950']
Hmong people	/wiki/Hmong_people	['1900', '1950']
She people	/wiki/She_people	['1900', '1950']
Yao people	/wiki/Yao_people	['1900', '1950']
Bonan people	/wiki/Bonan_people	['1900', '1950']
Daur people	/wiki/Daur_people	['1900', '1950']
Dongxiangs	/wiki/Dongxiangs	['1900', '1950']
Monguor people	/wiki/Monguor_people	['1900', '1950']
Yugur	/wiki/Yugur	['1900', '1950']
Bouyei people	/wiki/Bouyei_people	['1900', '1950']
Dai people	/wiki/Dai_people	['1900', '1950']
Kam people	/wiki/Kam_people	['1900', '1950']
Gelao people	/wiki/Gelao_people	['1900', '1950']
Li people	/wiki/Li_people	['1900', '1950']
Maonan people	/wiki/Maonan_people	['1900', '1950']
Mulao people	/wiki/Mulao_people	['1900', '1950']
Sui people	/wiki/Sui_people	['1900', '1950']
Zhuang people	/wiki/Zhuang_people	['1900', '1950']
Evenks	/wiki/Evenks	['1900', '1950']
Manchu people	/wiki/Manchu_people	['1900', '1950']
Nanai people	/wiki/Nanai_people	['1900', '1950']
Oroqen people	/wiki/Oroqen_people	['1900', '1950']
Sibe people	/wiki/Sibe_people	['1900', '1950']
Salar people	/wiki/Salar_people	['1900', '1950']
Chinese Tatars	/wiki/Chinese_Tatars	['1900', '1950']
Uyghurs	/wiki/Uyghurs	['1900', '1950']
Uzbeks	/wiki/Uzbeks	['1900', '1950']
Yugur	/wiki/Yugur	['1900', '1950']
Taiwanese aborigines	/wiki/Taiwanese_aborigines	['1900', '1950']
Bolyu language	/wiki/Bolyu_language	['1900', '1950']
Mishmi people	/wiki/Mishmi_people	['1900', '1950']
Gejia people	/wiki/Gejia_people	['1900', '1950']
Khmu people	/wiki/Khmu_people	['1900', '1950']
Macanese people	/wiki/Macanese_people	['1900', '1950']
Mang people	/wiki/Mang_people	['1900', '1950']
